#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.1224459113051 1.18512959180577</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.14575949485367 1.18503575105388</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.20743632107378 1.17033248788082 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((((sp82:0.0114908823,sp83:0.0114908823)nd79:0.3611220041,sp70:0.3726128864)nd77:0.3822396117,sp66:0.7548524981)nd73:0.6357187373,((sp78:0.1612515606,sp77:0.1612515606)nd81:0.08773922274,sp74:0.2489907833)nd74:1.141580452)nd57:0.3140174245,sp56:1.70458866)nd56:6.640288885,(((sp69:0.6244263069,(sp75:0.2478591605,sp76:0.2478591605)nd78:0.3765671464)nd76:0.7389080677,sp64:1.363334375)nd53:1.076683361,((sp80:0.03612340411,sp81:0.03612340411)nd80:0.3160607658,sp71:0.3521841699)nd55:2.087833566)nd50:5.904859809)nd7;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp74" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp75" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp76" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp77" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp78" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp80" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp81" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp82" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp83" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp56=1,sp64=2,sp66=1,sp69=1,sp70=2,sp71=1,sp74=2,sp75=2,sp76=2,sp77=1,sp78=2,sp80=2,sp81=2,sp82=2,sp83=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214817.96099580036	-30.92271691446139	-214787.03827888588	1.1224459113051	1.18512959180577	1.14575949485367	1.18503575105388	1.0E-10	1.20743632107378	1.17033248788082	1.0E-10
5000	-20.41793357534778	-31.32140479907578	10.903471223727998	1.1316502375956325	1.2282500504268394	1.1810379425136373	1.3085118171464944	1.1801919636374134	1.127906535654719	1.1032998189854395	1.1695293350637679
10000	-19.74293240348898	-30.897290178356315	11.154357774867336	1.1898505423023906	1.2591856117854086	1.1294703571955174	1.2787179187937872	1.1516183956757444	1.1072160233019075	1.1976195765775508	1.176792514564294
15000	-20.24268245566944	-30.556446056574657	10.313763600905219	1.1373981083452445	1.194306902570678	1.133690591826727	1.1113637374611003	1.2104802059413866	1.2790246221490056	1.2339536809003493	1.2562866863829674
20000	-20.878870046125172	-30.412702014637453	9.533831968512283	1.1506568288219854	1.2660458237135832	1.1220430467360472	1.1677495415840047	1.3159465592265231	1.229525002753415	1.1316390583203555	1.1398509515361432
25000	-18.579466875981176	-30.87836947072268	12.298902594741508	1.1977868141081343	1.095082212367378	1.0963945071673402	1.0938974362489602	1.2152551844526713	1.2021943837880935	1.1695034050725692	1.1188618082370483
30000	-20.70623298229757	-30.585687537969363	9.879454555671792	1.1697812428517793	1.282434062900207	1.0862811280664488	1.2117141870778925	1.2563819862767043	1.1035401711614135	1.18604971472164	1.208550626769776
35000	-19.870747521966017	-31.143787067908484	11.273039545942465	1.254899039503959	1.179478142457101	1.1502952635647912	1.2411485266025513	1.1629211438982308	1.0772317537657299	1.1913185696818012	1.0947153523203428
40000	-17.089398153586224	-31.17858993913447	14.089191785548245	1.1445293415999696	1.1562880539596054	1.1611014692498214	1.2080825150809185	1.1993605285763869	1.2016416608176286	1.1942461841538496	1.2031071714966872
45000	-17.400672883841764	-30.908984683330946	13.508311799489181	1.1865144388476732	1.188859285290716	1.1612827725583295	1.1648551359606487	1.2284457839054612	1.0990115319198506	1.1594962132861244	1.106598642939926
50000	-18.859904446847402	-30.600222132402696	11.740317685555292	1.2279885169842342	1.2328653680194992	1.2082505561581287	1.1464285625372086	1.0957548693140886	1.1652663359635567	1.0715524683885322	1.1689742831344057
55000	-20.140351053070116	-30.87682551511993	10.736474462049813	1.2354028163230708	1.1862246217466086	1.2069461501983139	1.1456403261232193	1.0283546813194349	1.1336820956835854	1.2082293571604057	1.1327154344655253
60000	-21.038221454229205	-30.26069502285791	9.222473568628704	1.216519985920146	1.286054913529736	1.0915218004021838	1.1243287894764253	1.1632916106324962	1.2299250651688736	1.0504177360104612	1.1706362593239341
65000	-20.197459366665413	-31.067705824782323	10.87024645811691	1.17057626418545	1.1471150323257873	1.235811691846453	1.1276662931702575	1.1792897022205655	1.159388937396797	1.1017312553118712	1.026068443845053
70000	-17.978433987325392	-30.444998070043606	12.466564082718214	1.1710003537551654	1.237980069154891	1.1298547835032584	1.0741498650694403	1.1500844725982624	1.1025552466335293	1.1169074895772362	1.1600300108458526
75000	-23.99777358586042	-30.598621951026438	6.60084836516602	1.3167541829611284	1.3168908847151193	1.249739507346768	1.2082972758491164	1.168620089989566	1.1217803831411617	1.2173933845416935	1.1853703553719677
80000	-19.494918692773165	-30.4006850747505	10.905766381977333	1.1348778597227944	1.2304040786399804	1.108540798140741	1.0831383998982826	1.126825683895595	1.2004673892401674	1.2119422790327332	1.059827153664732
85000	-19.929442288060677	-31.268426969020215	11.33898468095954	1.2225524468955877	1.080933183755922	1.0634033837648098	1.1968099307842117	1.1304861221507234	1.139056721166178	1.2262999714433365	1.1438199320762688
90000	-21.46643339608172	-31.355191559724563	9.888758163642844	1.0060664220617734	1.1869186097346567	1.1370997712578335	1.2278048602163478	1.1385524294938811	1.2076057528776174	1.189975440988959	1.1900006498621087
95000	-18.679876603301544	-31.250319917333126	12.570443314031582	1.1663221598348505	1.1485857040422558	1.1914593003626106	1.1924399191897206	1.2153231009743148	1.1938722293251227	1.2725239949478349	1.1289265748553754
100000	-17.67164441931947	-31.250715049715513	13.579070630396044	1.1926262997922166	1.133580806511516	1.1416339229580692	1.218794835484287	1.172953796360974	1.1746153369454384	1.24119157528014	1.1720137555195684
105000	-17.022523810275917	-30.90037721828265	13.877853408006732	1.1720450132656433	1.154952663821208	1.1547256927219438	1.1226675152693584	1.2500211510752968	1.1257638621676715	1.158698154998846	1.157167053617917
110000	-17.706074357101883	-30.610312277736238	12.904237920634356	1.1665351205124352	1.1877577853138086	1.1825191459178113	1.0533643336875587	1.2052124234352877	1.1399582900295404	1.1878484451391675	1.154757814701777
115000	-19.74058677790221	-31.00747869126699	11.26689191336478	1.0795166820881308	1.1929649970885776	1.1025738976846582	1.2213339413158975	1.2673450447624741	1.1746714562978995	1.1263604784825951	1.1896338432639029
120000	-21.3087343145296	-30.71373940936739	9.405005094837787	1.2712252132595971	1.1939875855578055	1.1822605663417702	1.1843875847636223	1.1861959407463214	1.2454880454870332	1.0322818499338446	1.129424155682464
125000	-17.532648351671334	-30.769444989083933	13.236796637412601	1.1710297002518049	1.184032641628724	1.1957109492768851	1.1325576809644393	1.2061541394961313	1.2190763295885307	1.165176859779171	1.2410037091000357
130000	-19.94363715302151	-30.75492449757094	10.81128734454943	1.1202701632000296	1.2472336945985558	1.2459719318182108	1.1436309684919668	1.1459908415874047	1.1658664105379666	1.19050618063976	1.2822054696759149
135000	-17.439806244200163	-30.633532336747663	13.193726092547502	1.1355092328090097	1.187196344619282	1.177136152893948	1.1057676298987702	1.1267456861256602	1.2593811457926725	1.1564386854604372	1.1581080043728902
140000	-19.869080735754395	-30.701312004575588	10.832231268821193	1.2535723496099542	1.1390594398751346	1.179750046426545	1.0900244086859479	1.1494794998496154	1.2662521238938087	1.1709941924721354	1.2384856431331244
145000	-20.512057952695628	-30.848943708258272	10.336885755562642	1.1387529266107799	1.2446225596189706	1.1880540580315322	1.14269790825564	1.1639396442108865	1.0356750804887214	1.2379443429706727	1.1056760780205477
150000	-20.046085117999585	-30.576311026137272	10.530225908137687	1.2368768157388492	1.2658198552986282	1.2744864143991501	1.124858622184773	1.1658551875862773	1.1249317026711816	1.1488351380265909	1.2051424495307645
155000	-20.698414241330482	-31.7501179005184	11.051703659187918	1.1029951240271665	1.1256572539706067	1.1665960865863472	1.2351482082661096	1.067468340291336	1.1055303925949747	1.2279621961611584	1.213751133072619
160000	-16.3945813916284	-30.734791068601186	14.340209676972787	1.1503812701251768	1.2085567898160219	1.1667975979543128	1.1630778599973657	1.2026136778629712	1.1978706030388708	1.136552381553125	1.1284937014067793
165000	-19.44828023488404	-31.525581235717745	12.077301000833703	1.0669329817317434	1.1364775901206225	1.2207405736998966	1.1400350897014966	1.1244728565072895	1.097092632734971	1.207712647648706	1.1946885491263732
170000	-19.383273280043724	-30.98797369835218	11.604700418308457	1.2178461212063314	1.2211248189099648	1.2660358935552558	1.184406973929857	1.1560446482643618	1.1126953967669253	1.1847891569792128	1.2292622738609744
175000	-17.898526884175254	-31.429593349834295	13.531066465659041	1.1497376464734035	1.0932172697445568	1.1863753941114386	1.166242000121856	1.095955288326144	1.1945291806510256	1.1559745330616857	1.1169040728756878
180000	-18.470451361947564	-30.37799611042891	11.907544748481346	1.1418524459727057	1.2779792400316432	1.1836075144187477	1.1308063434220577	1.162150988887378	1.2116867305314731	1.1226962235568596	1.0900314121468697
185000	-18.703472278748514	-30.422490664571793	11.71901838582328	1.1937708807714758	1.2286689780370226	1.0851892175022102	1.1324622380023244	1.1117643621679887	1.2249641597533578	1.1277938329436952	1.0892961738906233
