#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.15624017703155 1.23116526096309</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18202339525089 1.19693757394591</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.17125937136454 1.08729312708884 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((((sp58:0.4938960083,sp59:0.4938960083)nd68:1.672471538,sp55:2.166367546)nd32:0.827791223,sp39:2.994158769)nd29:1.014655316,((((sp52:0.5569693885,sp53:0.5569693885)nd65:0.04068352165,(sp65:0.4319403152,(sp69:0.05674026693,sp70:0.05674026693)nd70:0.3752000483)nd66:0.1657125949)nd63:0.3784801837,sp51:0.9761330939)nd52:0.3434079618,(((sp67:0.1190900275,sp68:0.1190900275)nd60:0.6748654576,sp56:0.7939554851)nd48:0.4396806396,((sp66:0.1741033591,(sp71:0.05375013117,sp72:0.05375013117)nd71:0.1203532279)nd58:0.7939166694,sp47:0.9680200285)nd49:0.2656160962)nd47:0.08590493099)nd41:2.689273029)nd20;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp39" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp47" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp51" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp52" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp53" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp55" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp56" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp58" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp59" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp68" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp69" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp70" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp71" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp72" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp39=2,sp47=1,sp51=2,sp52=1,sp53=2,sp55=1,sp56=2,sp58=1,sp59=1,sp65=1,sp66=1,sp67=2,sp68=2,sp69=1,sp70=1,sp71=1,sp72=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214819.66473010118	-32.342388600759946	-214787.32234150043	1.15624017703155	1.23116526096309	1.18202339525089	1.19693757394591	1.0E-10	1.17125937136454	1.1451266156236108	1.0E-10
5000	-22.117726611788974	-31.802282182501965	9.684555570712993	1.2314179670954366	1.2079290461536887	1.101804731871222	1.2107127688128678	1.2494057930499831	1.2128513887474568	1.2042437594075501	1.2785544595025395
10000	-20.40914704094835	-32.05315337394809	11.64400633299974	1.2363377473927268	1.1988369406858699	1.158623469048678	1.1896136218541769	1.2332829362433446	1.231233240959229	1.132469246631187	1.242348888510979
15000	-22.506969951380533	-32.573250138046724	10.06628018666619	1.1633083851957131	1.067597712553022	1.100206244165563	1.225154478093617	1.248159890791793	1.2696862777925202	1.1678787214789845	1.1809783558235032
20000	-20.193449928065128	-32.19993624792695	12.006486319861821	1.172308109845222	1.2096586959351383	1.1505694575171193	1.1489456596097216	1.2042256400631917	1.2273600402419296	1.1111478526270784	1.2705977953795935
25000	-19.33902495404496	-32.836640900290334	13.497615946245373	1.1113295794652989	1.1199114475485186	1.1793108113763915	1.1722868629521688	1.1210218995863386	1.2311772848235314	1.1820736803109653	1.1209148390696775
30000	-24.826178115208382	-32.646047396517545	7.819869281309163	1.0981806770080915	1.1576740935816219	1.237548058172374	1.1385428525607124	1.0371120820860014	1.0198911590941315	1.2094359948021949	1.1549779110136313
35000	-19.232857028784437	-31.92429707989433	12.691440051109893	1.182838653966871	1.229652845656966	1.1720281189866408	1.1247265528080903	1.203406588237371	1.1096750763398686	1.1367792973116697	1.2441870632908532
40000	-21.004671951766163	-31.665703879944658	10.661031928178494	1.2717101445695025	1.161930582184957	1.1036885617116723	1.1616322457799442	1.1842191155586772	1.158469164642787	1.0397330543129497	1.1320841827050299
45000	-23.203073126573432	-32.419533610400386	9.216460483826953	1.142754903763392	1.2467883394193626	1.1871314271291908	1.1737064817490912	1.0144758246573773	1.1805766817085503	1.0687744104630499	1.14531469291578
50000	-22.371673276347938	-31.666481363263735	9.294808086915797	1.2133327989346092	1.2007679804814928	1.0775461650885354	1.187864777268455	1.2143266419085466	1.1232352024870111	1.1281419819761542	1.3228104246915766
55000	-19.386122117890054	-31.48337577840688	12.097253660516827	1.2405146078801463	1.2402996342705	1.1098702561069804	1.1666501628207113	1.18745280114732	1.0837040603386066	1.1785552290257413	1.1712274191910885
60000	-23.602130174256956	-32.081200657562825	8.479070483305868	1.104488165753247	1.2321070799620475	1.0711390218419592	1.1329822618980532	1.2019173044632638	1.2410484962685457	1.1729861031756839	1.022098829365529
65000	-22.454452153143492	-31.848226463856008	9.393774310712516	1.3293773300398202	1.212146983184689	1.2295220186493723	1.1685993251367734	1.1898728596150614	1.1961510102233608	1.0879339710067275	1.16763354488592
70000	-21.864415658354066	-32.49873904423424	10.634323385880176	1.1156452637486767	1.1862345301659443	1.1330129457963443	1.2837650645138743	1.150692787677524	1.0467307968657165	1.153647897722918	1.1862236648953282
75000	-18.081473973299094	-31.960795417800604	13.87932144450151	1.177514164642007	1.1333734567063967	1.1121504442648837	1.1357902847362444	1.220374998413226	1.1225529515003945	1.1214594020553077	1.1708068559977944
80000	-20.37336232265355	-31.229617841670688	10.856255519017138	1.291876859256271	1.2049626966422664	1.0786091160969802	1.1433242956370486	1.1963167352961637	1.10844983714275	1.1829025707647596	1.1916867813816605
85000	-20.81171318184211	-31.795601162275833	10.983887980433726	1.146140530280527	1.1315325037986534	1.0550433781026365	1.1456390634263072	1.2427926633839588	1.091318119228105	1.2350267482410437	1.163374811676457
90000	-17.595328017383714	-32.082821323776734	14.48749330639302	1.1591727502346902	1.1429223401638466	1.1161067834366645	1.172747079594256	1.1506341431525704	1.1215143190319066	1.1960299759657573	1.1263950229760837
95000	-18.66354001024016	-32.04576460878004	13.382224598539882	1.167668457185667	1.1819693047037396	1.1659178065879292	1.1344258460773922	1.2005525216469508	1.1083830653687141	1.1919191700254013	1.246044833769578
100000	-19.547848087441093	-32.44223571136208	12.894387623920988	1.13742754841172	1.2038890104552422	1.1670311500732167	1.2439829145908818	1.1795195986721363	1.1242804841079495	1.2236839029949944	1.2062259200189662
105000	-23.818233911117133	-32.985936708821335	9.167702797704202	1.1354465079599323	1.1526445047459546	1.277627900236407	1.223212635809609	1.094477000143111	1.0415222182834194	1.1002530953869731	1.1223445515386492
110000	-20.07710270968794	-31.894026656531356	11.816923946843417	1.2454400341581837	1.1376604173331293	1.1799214133548688	1.170544894064992	1.206678930654842	1.058770194171576	1.1131767644682158	1.1892484123142664
