#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.19702622952351 1.11642775896175</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.12635852236956 1.13022812932957</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.11394952783803 1.22074422858865 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="(((sp64:0.06171086983,sp65:0.06171086983)nd61:1.852541151,(sp63:0.2244003538,(sp66:0.009770445104,sp67:0.009770445104)nd66:0.2146299087)nd62:1.689851667)nd54:2.043401824,sp57:3.957653845)nd41;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp64" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp66" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp67" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp57=2,sp63=2,sp64=2,sp65=2,sp66=2,sp67=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214799.95488162542	-11.915040333352698	-214788.03984129208	1.19702622952351	1.11642775896175	1.12635852236956	1.13022812932957	1.0E-10	1.104087015112402	1.22074422858865	1.0E-10
5000	-1.5330822397462036	-11.43541562510424	9.902333385358036	1.113654211570418	1.2102304641133064	1.0707083766944072	1.0397854037234044	1.2385989122283685	1.1291711387462013	1.1398385466603684	1.1279379478609532
10000	1.140575443236994	-11.459160907878315	12.59973635111531	1.131246544063938	1.1668232613376037	1.14333700308657	1.1223341322318334	1.2525430118120378	1.1895375467478286	1.080327583470355	1.130136486232174
15000	0.478447136645336	-11.60830836574467	12.086755502390005	1.245201150229117	1.1740883045981167	1.1404676998956114	1.0834921158942865	1.0904722722727225	1.191842788358491	1.2120300376538675	1.1691734236269349
20000	-1.5740273802031517	-11.685281180229955	10.111253800026804	1.0502341447537522	1.1455011948950922	1.1009073485533298	1.2212453685290294	1.166834278590227	1.2004475088301854	1.0810635401242181	1.0781084567833668
25000	-3.3099989990064653	-11.688565548928732	8.378566549922267	1.2803212955809895	1.1977063392370926	1.2289001552597096	1.0914021926317894	1.2481021568112352	1.0892975416841522	1.1808950440521433	1.0628130781281915
30000	0.11505810105705727	-11.504635416888013	11.61969351794507	1.1881154390195046	1.2112996833804106	1.1868195161297732	1.1210021047011078	1.1086906936841094	1.1389919269826465	1.108722278643061	1.0457959600081634
35000	-0.6222844935224412	-12.06726198854935	11.444977495026908	1.1403496088746208	1.1411622314247345	1.258220300635077	1.26434640411859	1.0842765688012537	1.1332016713725195	1.149888020762121	1.1498275076037487
40000	1.397889746520054	-11.648916766870482	13.046806513390536	1.1640403248143503	1.1519871685079401	1.2175117105154332	1.0795273186339298	1.2057492945736796	1.1481518028155109	1.1712297309684645	1.2195140025313822
45000	-0.06477123258587802	-11.822307488301963	11.757536255716085	1.2139846030533454	1.1457543569269586	1.207687939088382	1.0892241404551684	1.199052173937082	1.157399300319602	1.2691370101289723	1.1212625695184633
50000	-1.4828677137744126	-11.899715222082705	10.416847508308292	1.216669428433545	1.1306845588236185	1.1243375396455553	1.1219668787415698	1.0695703487551886	1.0339180540207051	1.1727685025389354	1.1336400652143974
55000	-3.563184780112149	-11.826663232472946	8.263478452360797	1.155826374594397	1.1009172802728182	1.0433449267166106	1.190087294548529	1.1448892002266868	1.2900000573660142	1.2606536531118122	1.2208704528496224
60000	1.807550176051306	-11.682025100234666	13.489575276285972	1.225387263847677	1.1988473329091969	1.110257800316966	1.13079313167444	1.1313900878450611	1.1123778445033705	1.174650909344548	1.1859799099878472
65000	-0.5589144011528067	-11.690680700716571	11.131766299563765	1.2454733314602473	1.1663779232322058	1.1432258271213198	1.078348313089989	1.076469520604654	1.128835630561028	1.205685810421054	1.2258443665710224
70000	-2.154412213930545	-11.533307411901529	9.378895197970984	1.3060700720410565	1.1478733292227645	1.1427927862387406	1.1634788911893381	1.088798851462753	1.2894115582137013	1.146858890358251	1.140782566260448
75000	0.5006316081938831	-11.685043900149719	12.185675508343602	1.096427378122082	1.2041850089055979	1.1234480491806969	1.1775208393461374	1.0747419384506012	1.1536754464451309	1.1656600297924604	1.2410806705374788
