#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.09549148292301 1.1185828582264</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.19487438743475 1.09566994968498</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.15441349318995 1.25115602871251 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp57:1.006401875,((sp61:0.1801999053,(sp62:0.1578060341,sp63:0.1578060341)nd64:0.02239387122)nd61:0.5927074958,sp60:0.7729074012)nd60:0.2334944743)nd57:1.853541513,sp65:2.859943388)nd41;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp57" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp60" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp61" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp62" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp63" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp65" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp57=2,sp60=1,sp61=2,sp62=2,sp63=2,sp65=1"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214801.19025314858	-12.0599035683779	-214789.1303495802	1.09549148292301	1.1185828582264	1.19487438743475	1.09566994968498	1.0E-10	1.15441349318995	1.25115602871251	1.0E-10
5000	-5.528188782046537	-11.688431245130865	6.1602424630843275	1.0347268863448094	1.3015093861354547	1.03903010140017	1.1861079197025963	1.224548009284744	1.1739150550400486	1.0970332100581663	1.1173927218159607
10000	-10.86724291028727	-12.370492727526184	1.5032498172389133	1.07205979972599	1.2330759718001638	1.2216508309536231	1.4219852809553999	1.115334144707783	1.065308674710111	1.0991055730056944	1.0905977625978553
15000	-1.5243453891803966	-12.184224092201417	10.65987870302102	1.070132963322518	1.186767893431369	1.214353975073382	1.2604437046367476	1.1436568554455875	1.2601575497573823	1.1557549562450387	1.1339000513731212
20000	1.6631916194876535	-12.029481148768118	13.692672768255772	1.1503276007456853	1.0867119193783696	1.147736018016467	1.0965300657915336	1.1689331755381507	1.1272911453211738	1.1770024230617253	1.1764668111978718
25000	2.0053998955387033	-12.02882773604562	14.034227631584324	1.219059164429928	1.1227399673955862	1.1644357893230106	1.1269333661960805	1.1911179055459942	1.1374290329393215	1.201861437674782	1.1445837584467422
30000	1.273893240962158	-11.903209927541818	13.177103168503976	1.1380671309191528	1.1420413573138561	1.0650472029499292	1.1386263585150609	1.1482961626800348	1.108293920485264	1.146789896387306	1.1970822895499331
35000	1.7312627994215593	-11.962293207760503	13.693556007182062	1.1440636739121104	1.19963602101427	1.169834054232185	1.1894089754964021	1.094151606669971	1.1645297417184304	1.1020188293357422	1.1892479824729263
40000	1.1523922810786562	-12.005176115244248	13.157568396322905	1.2412636536981159	1.1522711704038897	1.125702478504305	1.1851203175087075	1.2350573574677546	1.1969492683155398	1.172576958723082	1.1640026540776127
45000	-2.2659666652186665	-12.00773663913327	9.741769973914604	1.2882555402141054	1.1820632703693097	1.1586875739868028	1.2150771270544722	1.1075190499125616	1.0794727701863793	1.079184121754844	1.1034570831091817
50000	-0.7280432369731571	-12.124226416042735	11.396183179069578	1.0812245336439854	1.197563391743257	1.224142823720946	1.2312592030800142	1.2207533093480372	1.2040483273464326	1.1559265771041913	1.2287437004723423
55000	0.2674476239459782	-11.98400026045951	12.251447884405488	1.169648235747185	1.1638961375146089	1.1950682943582212	1.1186358477524216	1.2850194929569299	1.1752504710330633	1.2201754326383172	1.167459819704341
60000	-3.5081716187255925	-12.477469565712036	8.969297946986444	1.1199368221291681	1.1074216719603185	1.2348169431891103	1.2961974912485164	1.2065149854735142	1.1352595640270604	1.2835254669050313	1.1547193208076425
65000	-1.1709185471397543	-11.98725053344067	10.816331986300916	1.1406307912364253	1.188466392111633	1.1368974917015158	1.213246224603836	1.0302880090318107	1.1675671581649365	1.116000707475659	1.0848552582304523
70000	2.199699046961726	-11.991830906608758	14.191529953570484	1.149913363709105	1.1755190779296023	1.15625451353437	1.1672931282400354	1.130520800226465	1.0930908086372362	1.1755955272182343	1.1134481446455784
75000	0.9307116412113778	-11.813152402491173	12.743864043702551	1.1436452884741488	1.2746798708412148	1.123903691063912	1.1870123289736765	1.185273241913207	1.1892221261804643	1.1338759335558886	1.1228499300383838
