#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="LambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Lambda" name="x">1.19356662002821 1.1578038114065</parameter>
#            <distr id="LogNormal.Lambda" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter1" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="MuPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="2" id="Mu" name="x">1.18569262200998 1.13643720403009</parameter>
#            <distr id="LogNormal.Mu" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter2" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter3" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#        <distribution id="FlatQMatrixPrior" spec="beast.math.distributions.Prior">
#            <parameter dimension="4" id="FlatQMatrix" lower="0.0" minordimension="2" name="x">1.0E-10 1.13754569343892 1.11726214411574 1.0E-10</parameter>
#            <distr id="LogNormal.FlatQMatrix" spec="beast.math.distributions.LogNormalDistributionModel">
#                <parameter estimate="false" id="RealParameter4" name="M">0.15</parameter>
#                <parameter estimate="false" id="RealParameter5" name="S">0.05</parameter>
#            </distr>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution IncorporateCladogenesis="false" Lambda="@Lambda" Mu="@Mu" id="StateDependentSpeciationExtinctionProcess" spec="biogeo.StateDependentSpeciationExtinctionProcess">
#            <TreeParser IsLabelledNewick="true" adjustTipHeights="false" id="TreeParser" newick="((sp18:0.7447092025,sp17:0.7447092025)nd18:0.4557173883,((sp21:0.07277960223,(sp22:0.04147496113,sp23:0.04147496113)nd22:0.0313046411)nd21:0.3779182055,sp20:0.4506978077)nd19:0.7497287831)nd17;" offset="0" singlechild="false" spec="beast.util.TreeParser">
#                <taxonset id="TaxonSet" spec="beast.evolution.alignment.TaxonSet">
#                    <taxon id="sp17" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp18" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp20" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp21" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp22" spec="beast.evolution.alignment.Taxon"/>
#                    <taxon id="sp23" spec="beast.evolution.alignment.Taxon"/>
#                </taxonset>
#            </TreeParser>
#            <TraitStash NumberOfStates="2" id="TraitStash" spec="biogeo.TraitStash" taxa="@TaxonSet" value="sp17=1,sp18=1,sp20=2,sp21=2,sp22=2,sp23=2"/>
#            <InstantaneousRateMatrix FlatQMatrix="@FlatQMatrix" NumberOfStates="2" id="InstantaneousRateMatrix" spec="biogeo.InstantaneousRateMatrix"/>
#            <parameter dimension="4" id="Pi" name="Pi">0.0 0.0 0.5 0.5</parameter>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	Lambda1	Lambda2	Mu1	Mu2	FlatQMatrix1	FlatQMatrix2	FlatQMatrix3	FlatQMatrix4
0	-214794.93074406288	-7.933397814521681	-214786.99734624836	1.19356662002821	1.1403408760502194	1.18569262200998	1.13643720403009	1.0E-10	1.13754569343892	1.11726214411574	1.0E-10
5000	-0.060633320734562623	-7.8919670206929196	7.831333699958357	1.1374742643603128	1.185403020595546	1.2915762317709083	1.0680155755101814	1.0407770874562257	1.2139157129472367	1.1413031065412775	1.0818122350791082
10000	-1.4843489837616506	-8.426845524017223	6.942496540255572	1.0276130225680413	0.9953466907819373	1.2158862152153185	1.1652007848745434	1.161092168426642	1.1569504512798259	1.1168722105701618	1.1978161934504736
15000	2.544591462308304	-8.202715671468436	10.74730713377674	1.1774701268274363	1.1030928647789218	1.1629111557426226	1.2922306776659125	1.161002672242564	1.261350070969439	1.2068104022179065	1.1541100054560283
20000	4.4397378514831605	-8.00774847264653	12.44748632412969	1.2654525181266714	1.1325067069493335	1.230081677528454	1.1673420674241177	1.0991070608561864	1.1590340357405178	1.1509599011304152	1.144292692625493
25000	5.1837295500964915	-7.795595246231321	12.979324796327813	1.1670229561724637	1.1631121501322954	1.0688646831841844	1.127251886849322	1.2072339524218805	1.1059651016451233	1.1810831422332169	1.1885338856819467
30000	4.68028282403705	-7.8840308811791004	12.56431370521615	1.2424390806700043	1.2023307846532243	1.217673757373019	1.200030274172937	1.1769221378806316	1.146048495167672	1.1803601446778078	1.0900822786137414
35000	5.833330638949734	-7.852900278718735	13.68623091766847	1.2041870997449475	1.195097091996636	1.1850052655495715	1.1771111422727938	1.1096545668489823	1.1703729647294316	1.109519615931033	1.112678357263563
40000	1.7356070445238219	-7.8105882400062105	9.546195284530032	1.0966632693208749	1.1392656219997492	1.0956392016099294	1.0461537004003298	1.2536832774609035	1.0784679913694066	1.1917668339886045	1.1397809328205473
45000	6.554081918920375	-7.846050457822433	14.400132376742809	1.157394604813555	1.1860099748520205	1.164222420125087	1.1372368702770417	1.1940068177825183	1.1920533003141172	1.1603270066704625	1.2186417667126053
50000	5.227254161512333	-7.912545611827303	13.139799773339636	1.1135900121586433	1.1777959139558376	1.2051521203719138	1.151936038975476	1.210320214101724	1.0862756518092354	1.1849851761616343	1.203676146688646
55000	3.4744367553172495	-8.005610322043456	11.480047077360705	1.0964777519548017	1.0849361814911238	1.1192474819502785	1.0937377895379354	1.236362851274514	1.13314037513106	1.1636732691964284	1.0968914204679434
60000	2.0025880483051157	-7.741237437135595	9.743825485440711	1.1810053398129692	1.2719280921619727	1.1125448726230258	1.2744216974579559	1.2014206665197769	1.1228978213052279	1.2105848833425448	1.239378083969196
65000	5.8878708089308605	-7.8387260521589495	13.72659686108981	1.2071959027897567	1.1494139906059468	1.084973438237125	1.1250207400497727	1.1630409036519247	1.1683658114794002	1.1878509147542209	1.1258308615602703
70000	2.117205229391943	-7.5160716197297175	9.63327684912166	1.1848214162509039	1.2975532733116701	1.1812945309713476	1.0532571360822667	1.2161830400612372	1.0896028303720118	1.1506470869941754	1.1545912014896893
75000	4.346610874063289	-8.079849314771966	12.426460188835255	1.093109761217507	1.1455188910135186	1.253666299951865	1.1920083089528162	1.1850926764873795	1.1559747815905057	1.1349199433378905	1.092117405567138
